date,signal,source_url,source_strength,related_brand,note
2026-07-08,"무신사가 마뗑킴과 일본 총판 파트너십을 체결하고 현지 유통 판매를 맡는다고 공개했다.",https://newsroom.musinsa.com/newsroom-menu/2024-1112,4:official/company/platform,MATIN KIM,"글로벌 확장 신호가 강하다. 신규 입점보다 글로벌 콘텐츠와 현지화 상품 검토가 적합하다."
2026-07-08,"마뗑킴 시부야점은 오픈 초기 방문과 매출 성과를 공개했다.",https://newsroom.musinsa.com/newsroom-menu/2025-0428,4:official/company/platform,MATIN KIM,"고객 반응이 공개 수치로 확인된다. 이미 무신사 핵심 파트너라 신규 검토 후보는 아니다."
2026-07-08,"W컨셉은 2026 여름 마뗑킴 컬렉션과 바게트백 단독 선공개를 알렸다.",https://www.yna.co.kr/view/AKR20260325044900030,3:press/review/community,MATIN KIM,"타 플랫폼 단독 선공개 신호다. 무신사 단독성 관점에서는 반대 근거도 된다."
2026-07-08,"시야쥬 공식 스토어에서 미니멀 팬츠, 셔츠, 액세서리 등 현재 상품 전개가 확인된다.",https://en.siyazu.co.kr/,4:official/company/platform,SIYAZU,"여성 컨템포러리 방향성은 맞지만 고객 반응 수치는 별도 확인해야 한다."
2026-07-08,"무신사 글로벌 공개 브랜드 페이지에서 시야쥬 상품 노출을 확인할 수 있다.",https://global.musinsa.com/nz/brands/siyazu?page=1&sortCode=RECOMMEND,4:official/company/platform,SIYAZU,"플랫폼 노출 근거다. 동적 상품 반응은 manual-check-required."
2026-07-08,"시야쥬는 29CM 공개 브랜드 페이지에서 미니멀리즘과 편안함 중심 브랜드로 식별된다.",https://shop.29cm.co.kr/brand/10005,4:official/company/platform,SIYAZU,"플랫폼 식별 근거다. 동적 상품 데이터는 manual-check-required."
2026-07-08,"르셉템버 공식 글로벌 사이트에서 2026 컬렉션과 현재 상품 전개가 확인된다.",https://en.le17septembre.com/,4:official/company/platform,LE17SEPTEMBRE,"공식 컬렉션 신호. 구매 반응 수치는 별도 확인 필요."
2026-07-08,"르셉템버 공식 사이트는 서울 기반 브랜드와 구조적 실루엣의 timeless pieces를 설명한다.",https://le17septembre.com/about.html,4:official/company/platform,LE17SEPTEMBRE,"브랜드 실재성과 포지션 확인. 고객 반응 수치는 별도 확인 필요."
2026-07-08,"29CM는 르셉템버 단독 아이템과 여름 콘텐츠를 공개했다.",https://content.29cm.co.kr/brand-event/2026/06/01/2nd,4:official/company/platform,LE17SEPTEMBRE,"플랫폼 큐레이션 신호. 구매 반응은 화면 확인 필요."
2026-07-08,"렉토 공식 사이트는 젠더 뉴트럴 실루엣과 뉴 클래식을 브랜드 철학으로 설명한다.",https://recto.co/about.html,4:official/company/platform,RECTO,"브랜드 포지션은 여성 컨템포러리와 맞다. 최근 고객 반응 수치는 없다."
2026-07-08,"렉토는 2026 봄여름 컬렉션에서 정제와 일상 사이의 균형을 제안했다.",https://www.ktnews.com/news/articleView.html?idxno=144475,3:press/review/community,RECTO,"최근 컬렉션 신호. 공식 컬렉션 페이지와 플랫폼 반응을 추가 확인해야 한다."
2026-07-08,"트리밍버드는 29CM 공개 브랜드 페이지에서 모노톤 클래식 놈코어룩으로 식별된다.",https://shop.29cm.co.kr/brand/40284,4:official/company/platform,TREEMINGBIRD,"브랜드 포지션 확인. 동적 상품 데이터는 manual-check-required."
2026-07-08,"트리밍버드는 무신사 공개 브랜드 콘텐츠 페이지가 있다.",https://www.musinsa.com/brand/treemingbird/contents,4:official/company/platform,TREEMINGBIRD,"이미 무신사 노출이 있는 후보라 신규 발굴로 포장하지 않는다."
2026-07-08,"트리밍버드는 무신사 라이브와 29CM 수요입점회 성과 및 오프라인 확장 사례가 접근 가능한 업계 기사로 공개됐다.",https://www.fi.co.kr/main/view.asp?idx=82565,3:press/review/community,TREEMINGBIRD,"강한 반응 신호지만 업계 기사라 공식 플랫폼 재확인이 필요하다. 이번 실행에서는 모니터링으로 둔다."
2026-07-08,"더바넷 공식 사이트는 현재 상품 전개를 공개한다.",https://the-barnnet.com/,4:official/company/platform,THE BARNNET,"최근 상품 전개가 확인된다."
2026-07-08,"29CM는 더바넷과 사랑의 26SS 컬렉션을 29 EDITION 단독으로 소개했다.",https://www.29cm.co.kr/content/29edition/2026/02/thebarnnet,4:official/company/platform,THE BARNNET,"플랫폼 단독 콘텐츠 신호. 리뷰 이벤트도 공개되어 고객 반응 수집 설계가 가능하다."
2026-07-08,"더바넷은 29CM 공식 라이브 페이지와 접근 가능한 업계 기사에서 라이브 반응 신호가 확인된다.",https://www.ktnews.com/news/articleView.html?idxno=142676,3:press/review/community,THE BARNNET,"고객 반응 수치가 있으나 3등급 보조 근거다. 플랫폼 화면 재확인이 필요하다."
2026-07-08,"헤이그는 29CM 공개 브랜드 페이지에서 일상적이고 오래 손이 가는 제품을 만드는 브랜드로 식별된다.",https://shop.29cm.co.kr/brand/19972,4:official/company/platform,HAAG,"플랫폼 식별 근거. 고객 반응 수치는 확인 필요."
2026-07-08,"29CM는 2026년 6월 헤이그 여름 콘텐츠를 공개했다.",https://www.29cm.co.kr/content/special/2026/06/haag,4:official/company/platform,HAAG,"동적 페이지 본문 추출이 제한될 수 있어 manual-check-required."
2026-07-08,"포에토는 29CM 공개 브랜드 페이지에서 트렌디함과 클래식함이 공존하는 브랜드로 식별된다.",https://shop.29cm.co.kr/brand/53520,4:official/company/platform,FOETO,"브랜드 포지션 확인. 동적 상품 데이터는 manual-check-required."
